음 식 명|중량(g)|에너지(kcal)|탄수화물(g)|단백질(g)|지방(g)|당류(g)|나트륨(mg)
쌀밥|210|334.8|73.71|5.76|0.45|0|59.4
기타잡곡밥|200|302.362|65.5211|6.7092|0.7462|0|3.392
콩밥|200|322.9|65.846|8.428|1.666|0|4.1
보리밥|200|316.1|70.57|5.55|0.14|0|4.5
돌솥밥|350|528.855|101.85|10.187|8.347|0|618.315
현미밥|230|351.35|77.8771|6.6576|1.1021|0|42.079
흑미밥|200|318|70.29|5.44|0.39|0|4.5
감자밥|200|308|68.64|5.68|0.08|0|5.2
곤드레밥|350|506.8|108.052|14.14|8.372|0|88.753
김치볶음밥|500|656.98|79.29|8.74|5.06|3.996|1094.91
주먹밥|150|209.56|36.18|6.703|3.463|0|329.69
볶음밥|400|687.744|100.328|24.458|19.29|0|1441.42
일반비빔밥|500|702.996|95.68336364|22.59509091|25.28390909|3.44|1234.088
전주비빔밥|450|662.192|92.98948756|15.84349254|13.03350249|3.44|1281.302
삼선볶음밥|400|683.617|113.4284876|19.25849254|16.84250249|5.094|1155.806
새우볶음밥|400|634.52|91.62|24.115|17.905|0|1124.628
알밥|400|606.54|92.1|15.16|3.45|0|1647.866
산채비빔밥 |400|495.89|89.6601645|10.6632987|10.9935671|0.52|1060.778
오므라이스|450|684.986|101.6211645|23.1452987|19.7515671|0|1123.236
육회비빔밥|450|661.41|91.7421645|32.0012987|17.5395671|2.58|1126.6
해물볶음밥|400|659.23|85.1921645|22.6812987|23.7095671|0|951.03
열무비빔밥|400|445.66|90.0321645|12.9912987|3.1595671|1.72|718.39
불고기덮밥|500|699.96|92.0921645|29.3112987|21.3995671|5.99|1182.88
소고기국밥|700|331.71|54.93|16.04|4.74|0|1613.21
송이덮밥|600|600.42|103.57|16.28|14.45|0|1578.85
오징어덮밥|500|693.98|83.428|40.59|20.92|2.688|1497.37
자장밥|500|729.617|98.078|25.758|24.95|4|1521.85
잡채밥|650|851.54|125.7|21.14|28.61|4|2251.34
잡탕밥|750|737.23|100.55|29.02|22.48|0|1922.135
장어덮밥|400|671.72|103.0364242|26.13581818|19.23618182|0|893.22
제육덮밥|500|796.94|95.8|37.8|27.52|5.4|1375.69
짬뽕밥|900|696.6878378|93.41573338|41.79552295|22.41699592|0|2869.535383
순대국밥|900|690.35|34.229|17.338|16.478|0|3418.195
카레라이스|500|653.24|92.576|13.398|10.667|0|1108.55
전주콩나물국밥|900|432.38|88.732|12.496|3.525|0|1753.255
해물덮밥|700|837.976|100.112|51.768|29|0|2117.832
회덮밥|500|697.996|101.753|42.992|11.397|18.405|777.63
소머리국밥|1100|891.43|77.058|48.943|40.762|0|970.895
돼지국밥|1200|811.44|78.284|56.755|36.453|3.3|1257.67
하이라이스|360|477.6|84.591|7.92|9.669|0|991.68
김치김밥|250|377.262|71.804|11.449|4.62|0|967.79
농어초밥|250|414.78|74.144|19.925|2.367|6.972|1385.46
문어초밥|250|377.97|71.835|16.904|1.03|4.98|1420.922
새우초밥|250|395.54|69.543|22.737|1.206|2.988|1396.751
새우튀김롤|300|572.016|81.496|21.112|18.896|3.996|1512.501
샐러드김밥|250|422.434|75.8415|12.764|7.508|0|906.6775
광어초밥|300|471.664|72.526|33.7415|3.206|5.229|951.2755
소고기김밥|250|425.666|76.0705|14.671|6.636|0|1477.9845
갈비삼각김밥|100|183.18|32.746|6.861|2.595|0|398.119
연어롤 |300|518.58|76.107|20.723|14.719|0|1243.818
연어초밥|250|451.029|70.868|24.94|5.763|3.964|995.03
유부초밥|250|463.21|78.474|12.366|11.232|6.765|929.066
장어초밥|400|486.34837|74.84051|16.32504|12.7349|2.0595|1291.80505
참치김밥|250|401.224|47.553|19.825|14.587|0|925.731
참치마요삼각김밥|100|189.582|31.934|8.11|2.889|0|189.1
치즈김밥 |250|462.2269|77.125|17.1226|8.843|0|919.9703
캘리포니아롤|300|468.16|81.22|12.8|9.73|0|1351.96
한치초밥|250|389.96|77.31|13.54|1.2|1.74|1153.49
일반김밥|200|348.87|63.636|10.276|5.424|0|951.32
간자장|650|807.7368|121.748|29.2832|26.3806|6.7932|2347.7712
굴짬뽕|900|640.774|115.816|37.39|7.759|1.998|2385.345
기스면|1000|645.61|98.302|43.517|11.004|0|2279.524
김치라면|650|512.25525|80.56555|12.97075|20.3385|2.27305|2628.288
김치우동|800|512.712|99.064|16.744|4.736|0|3003.048
김치말이국수|600|310.377|60.756|10.418|2.469|2.997|2335.448
닭칼국수|900|643.097|70.238|39.859|19.587|0|2492.774
들깨칼국수|600|442.322|76.674|17.477|6.778|2.398|1695.773
떡라면|700|672.18|121.083|15.451|17.579|0|2214.356
라면|550|509.328|83.168|14.077|17.748|0|1695.501
막국수|550|566.886|111.302|26.9485|5.0875|11.022|1828.021
메밀국수|600|588.675|120.087|25.259|4.527|10.162|1962.458
물냉면|800|579.71|96.403|28.784|9.779|1.199|2586.1597
비빔국수|550|577.17|114.475|16.705|9.55|11.015|1628.3
비빔냉면|550|594.31|91.492|23.699|9.128|1.999|1530.57
삼선우동|1000|692.26|89.195|56.1725|10.528|1.999|2351.4322
삼선자장면|700|787.844|111.57|38.326|24.682|1.999|2791.1097
삼선짬뽕|900|629.1|89.311|39.17|13.452|2.997|2825.66
수제비|800|622.148|99.217|38.529|6.541|0|1669.3157
쌀국수|600|321.335|46.198|21.848|5.814|2.198|2032.165
열무김치국수|800|488.324|81.612|21.936|8.223|0|2587.704
